(4, 17)
(8, 11)
(13, 10)
(3, 10)
(0, 12)
(19, 7)
(0, 6)
(10, 0)
(15, 14)
(9, 1)
(21, 2)
(22, 9)
(21, 10)
(7, 7)
(7, 8)
(8, 8)
(0, 10)
(2, 15)
(5, 15)
(10, 16)
(14, 4)
(12, 1)
(3, 2)
(0, 8)
(5, 13)
(17, 15)
(1, 10)
(1, 14)
(8, 0)
(7, 1)
(8, 3)
(17, 7)
(18, 0)
(11, 15)
(11, 16)
(23, 6)
(22, 8)
(20, 5)
(11, 6)
(17, 1)
(15, 1)
(17, 3)
(24, 4)
(20, 14)
(17, 14)
(19, 14)
(3, 16)
(9, 13)
(1, 5)
(4, 5)
(2, 3)
(14, 6)
(11, 12)
(8, 16)
(3, 8)
(7, 3)
(9, 1)
(13, 0)
(19, 1)
(18, 3)
(18, 6)
(23, 4)
(11, 7)
(17, 10)
